projects,exercises,challenges,_num_students,_name,Project 4: Word Guesser,Project (W5): Connect4,Project (W4): The Game of Nimm,Project (W3): Election Year,Project (W2): All the Fruits,Project (W1): Pick Corners,Project (W1): Introducing You,Exercise (W6-7): SpotiPy,Exercise (W5): Caixa Eletrônico,Exercise (W5) Intro to Connect4,Exercise (W4): Fortune Teller,Exercise (W4): Conversion,Exercise (W4): Calculator,Exercise (W4): Bilheteria,Exercise (W3): Vidente,Exercise (W3): Theorem of Pythagoras,Exercise (W3): Maiúsculas,Exercise (W3): Guest List,Exercise (W3): Favorite Number,Exercise (W2): Two Rows,Exercise (W2): Rogue Fruit 2,Exercise (W2): Rogue Fruit,Exercise (W2): Land's End,Exercise (W2): Introducing PyBot,Exercise (W2): Face North,Exercise (W2): Dança do Quadrado,Exercise (W2): Big Field,Exercise (W1): Turn Left Function,Exercise (W1): Print Name,Exercise (W1): Harvest Your First Fruit,Exercise  (W3): Max Number,Challenge (W4): Fibonacci,Challenge (W3): Hailstone,Challenge (W2): Midpoint PyBot,Challenge (ML): Housing Prices
0.324,0.528,0.0,15,"1 Segunda-feira, 13h40-15h40 Bom Jesus Centro",0.0,0.0,0.067,0.133,0.6,0.733,0.733,0.0,0.8,0.0,0.0,0.0,0.8,0.333,0.267,0.867,0.333,0.867,0.267,0.867,0.0,0.933,0.867,0.0,0.933,0.933,0.933,0.8,0.8,0.8,0.267,0.0,0.0,0.0,0.0
0.414,0.523,0.063,20,"10 Sexta-feira, 13h30-15h30 Bom Jesus Lourdes",0.0,0.05,0.3,0.35,0.55,0.9,0.75,0.0,0.45,0.0,0.0,0.0,0.8,0.45,0.1,0.65,0.9,0.9,0.05,1.0,0.0,0.9,0.9,0.0,0.9,1.0,1.0,0.85,0.15,0.95,0.6,0.1,0.05,0.1,0.0
0.229,0.392,0.025,20,"11 Sexta-feira, 16h00-16h50 Bom Jesus Lourdes",0.0,0.1,0.1,0.15,0.3,0.5,0.45,0.0,0.1,0.0,0.0,0.0,0.6,0.15,0.15,0.55,0.55,0.55,0.15,0.65,0.0,0.7,0.65,0.0,0.55,0.75,0.8,0.65,0.4,0.95,0.5,0.1,0.0,0.0,0.0
0.435,0.483,0.023,22,"2 Segunda-feira, 16h00-16h50 Bom Jesus Centro",0.0,0.045,0.091,0.227,0.818,0.909,0.955,0.0,0.091,0.0,0.0,0.0,0.409,0.182,0.227,0.545,0.545,0.455,0.318,0.864,0.0,0.864,0.909,0.0,0.955,0.955,0.955,1.0,1.0,0.955,0.364,0.045,0.0,0.045,0.0
0.132,0.311,0.0,13,"3 Terça-feira, 09h30-11h30 SESC",0.0,0.0,0.077,0.0,0.077,0.538,0.231,0.0,0.692,0.0,0.0,0.0,0.769,0.0,0.0,0.538,0.769,0.615,0.154,0.231,0.0,0.615,0.231,0.0,0.231,0.692,0.692,0.462,0.231,0.462,0.077,0.0,0.0,0.0,0.0
0.168,0.324,0.011,23,"4 Terça-feira, 13h40-15h40 SESC",0.0,0.0,0.043,0.0,0.174,0.478,0.478,0.0,0.478,0.0,0.0,0.0,0.652,0.13,0.0,0.217,0.739,0.739,0.043,0.522,0.0,0.696,0.348,0.0,0.261,0.652,0.696,0.739,0.348,0.478,0.043,0.043,0.0,0.0,0.0
0.149,0.34,0.0,24,"5 Quarta-feira, 09h30-11h30 SESC",0.0,0.0,0.0,0.042,0.083,0.708,0.208,0.0,0.042,0.0,0.0,0.0,0.542,0.0,0.083,0.25,0.667,0.792,0.042,0.5,0.0,0.708,0.542,0.0,0.333,0.625,0.792,0.833,0.458,0.875,0.083,0.0,0.0,0.0,0.0
0.272,0.458,0.0,21,"6 Quarta-feira, 13h40-15h40 SESC",0.0,0.0,0.0,0.0,0.381,0.905,0.619,0.0,0.476,0.0,0.0,0.0,0.762,0.0,0.0,0.333,1.0,0.762,0.0,0.81,0.0,0.952,0.905,0.0,0.571,0.905,0.857,0.952,0.619,1.0,0.095,0.0,0.0,0.0,0.0
0.415,0.484,0.0,21,"7 Quarta-feira, 16h50-17h40 Bom Jesus Centro",0.0,0.0,0.048,0.381,0.762,0.857,0.857,0.0,0.0,0.0,0.0,0.0,0.762,0.095,0.048,0.81,0.81,0.857,0.048,0.81,0.0,0.857,0.81,0.0,0.762,0.857,0.905,0.857,0.524,1.0,0.81,0.0,0.0,0.0,0.0
0.429,0.565,0.028,9,"8 Quinta-feira, 13h40-15h40 Bom Jesus Lourdes",0.0,0.0,0.111,0.333,0.667,1.0,0.889,0.0,0.667,0.0,0.0,0.0,0.778,0.333,0.111,0.889,1.0,1.0,0.111,1.0,0.0,1.0,0.778,0.0,0.889,1.0,1.0,1.0,0.333,0.889,0.778,0.0,0.0,0.111,0.0
0.038,0.117,0.0,26,"9 Quinta-feira, 16h50-17h40 Bom Jesus Lourdes",0.0,0.0,0.0,0.0,0.038,0.115,0.115,0.0,0.0,0.0,0.0,0.0,0.423,0.0,0.0,0.038,0.538,0.269,0.0,0.115,0.0,0.115,0.115,0.0,0.115,0.154,0.269,0.192,0.077,0.346,0.038,0.0,0.0,0.0,0.0
0.166,0.277,0.005,91,none,0.0,0.011,0.022,0.088,0.209,0.451,0.385,0.0,0.187,0.0,0.0,0.0,0.418,0.088,0.044,0.407,0.462,0.505,0.033,0.407,0.0,0.484,0.44,0.0,0.363,0.462,0.505,0.615,0.308,0.659,0.264,0.022,0.0,0.0,0.0
